n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,39,free,bite-retry,12023397145805715216,-3.38849398006416109e1,-4.43268010000000032e1,1.04418611993583923e1,2.35565413334438256e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.033879722,0.010421171,0.023458551,62302,0,true
13,39,free,bite-retry,14118027044237162458,-2.78556002584432818e1,-4.43268010000000032e1,1.64712007415567214e1,3.71585595395361845e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.025764425,0.007460852,0.018303573,66753,0,true
13,39,free,bite-retry,14216130040228855828,-3.43154626754515633e1,-4.43268010000000032e1,1.00113383245484400e1,2.25852939952703530e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.026234371,0.007832989,0.018401382,59943,0,true
13,39,free,bite-retry,15411881175776054229,-3.45726468872535406e1,-4.43268010000000032e1,9.75415411274646260e0,2.20050937416992082e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.028657330,0.008261288,0.020396042,62880,0,true
13,39,free,bite-retry,17230659570361518906,-3.33596176316706163e1,-4.43268010000000032e1,1.09671833683293869e1,2.47416531780161320e-1,false,false,false,false,,,4,20000,1560000,20000,0,0.027943952,0.008115873,0.019828079,54638,0,true
13,39,free,cma-retry,4570751413759120945,-3.56241296501934812e1,-4.43268010000000032e1,8.70267134980652202e0,1.96329785896494580e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.097774120,0.011568571,0.086205549,6215,0,true
13,39,free,cma-retry,7034108689089008211,-2.83213276913278946e1,-4.43268010000000032e1,1.60054733086721086e1,3.61078917214714135e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.063276101,0.007833643,0.055442458,4775,0,true
13,39,free,cma-retry,7271924302297329655,-3.32033079770606747e1,-4.43268010000000032e1,1.11234930229393285e1,2.50942833049001834e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.061699522,0.007619022,0.054080500,5294,0,true
13,39,free,cma-retry,8072969983913079348,-3.04829912840194019e1,-4.43268010000000032e1,1.38438097159806013e1,3.12312402511983667e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.064404684,0.007889207,0.056515477,4322,0,true
13,39,free,cma-retry,11652751910907147801,-2.62233674539095460e1,-4.43268010000000032e1,1.81034335460904572e1,4.08408302374233034e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.064401574,0.007632391,0.056769183,5440,0,true
13,39,free,cma-retry,12023397145805715216,-3.72804677356444003e1,-4.43268010000000032e1,7.04633326435560292e0,1.58963270648734667e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.098243016,0.011298663,0.086944353,3621,0,true
13,39,free,cma-retry,14118027044237162458,-3.47120689675868164e1,-4.43268010000000032e1,9.61473203241318686e0,2.16905615011856734e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.057240249,0.007061040,0.050179209,6776,0,true
13,39,free,cma-retry,14216130040228855828,-2.73917902025734215e1,-4.43268010000000032e1,1.69350107974265818e1,3.82049018096897619e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.059323823,0.007820596,0.051503227,5011,0,true
13,39,free,cma-retry,15411881175776054229,-2.59312204339057715e1,-4.43268010000000032e1,1.83955805660942318e1,4.14999055900610370e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.098274596,0.011606034,0.086668562,6324,0,true
13,39,free,cma-retry,17230659570361518906,-2.89783288478546019e1,-4.43268010000000032e1,1.53484721521454013e1,3.46257158330586512e-1,false,false,false,false,14,357,4,20000,1560000,20088,0,0.059598516,0.007383737,0.052214779,4323,0,true
13,39,free,crfmnes-retry,4570751413759120945,-4.11558770148272828e1,-4.43268010000000032e1,3.17092398517272045e0,7.15351415765987791e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.049072992,0.012542824,0.036530168,507,0,true
13,39,free,crfmnes-retry,7034108689089008211,-4.06737036804792851e1,-4.43268010000000032e1,3.65309731952071814e0,8.24128346081351021e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.037764488,0.009055703,0.028708785,479,0,true
13,39,free,crfmnes-retry,7271924302297329655,-3.99990504416906205e1,-4.43268010000000032e1,4.32775055830938271e0,9.76328194382757864e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.032635257,0.007971952,0.024663305,458,0,true
13,39,free,crfmnes-retry,8072969983913079348,-4.06701700366537509e1,-4.43268010000000032e1,3.65663096334625237e0,8.24925526059561987e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.041965937,0.010526625,0.031439312,324,0,true
13,39,free,crfmnes-retry,11652751910907147801,-3.93706334533081872e1,-4.43268010000000032e1,4.95616754669181603e0,1.11809727633893893e-1,false,false,false,false,16,312,4,20000,1560000,20032,0,0.029894594,0.007376268,0.022518326,429,0,true
13,39,free,crfmnes-retry,12023397145805715216,-4.14717934255826606e1,-4.43268010000000032e1,2.85500757441734265e0,6.44081573677591224e-2,false,false,false,true,16,312,4,20000,1560000,20032,0,0.050251036,0.011777930,0.038473106,388,0,true
