angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-57.61840452651324,-24.135551652253238,-29.458299426449894,-30.089470194716995
-57.56495192511867,-24.14182093111854,-29.47665392012968,-30.105525180296308
-57.51157768080825,-24.149529645626508,-29.49574311612495,-30.122921383195006
-57.45828140387855,-24.15867972269591,-29.51556274687935,-30.141664107574563
-57.4050627077335,-24.16927358661148,-29.536108183281435,-30.16175909838627
-57.35192120884972,-24.18131416231162,-29.557374422338796,-30.183212548639155
-57.29885652674252,-24.19480487936529,-29.579356074130384,-30.206031107282662
-57.24586828393224,-24.20974967665134,-29.602047348030208,-30.230221887728316
-57.19295610591118,-24.22615300775321,-29.625442038194848,-30.255792477033545
-57.14011962111089,-24.244019847085205,-29.649533508309037,-30.28275094577339
-57.08735846087003,-24.26335569676784,-29.674314675583844,-30.311105858627453
-57.03467225940256,-24.284166594273128,-29.699777994004613,-30.340866285713215
-56.98206065376653,-24.306459120861938,-29.725915436826043,-30.372041814697454
-56.9295232838331,-24.33024041083999,-29.752718478315828,-30.4046425637228
-56.87705979225622,-24.355518161659035,-29.780178074747994,-30.438679195185877
-56.82466982444252,-24.38230064489495,-29.808284644651923,-30.47416293040928
-56.7723530285218,-24.410596718136635,-29.837028048325003,-30.51110556525233
-56.72010905531773,-24.4404158378224,-29.866397566620396,-30.549519486707844
-56.66793755831918,-24.471768073064617,-29.89638187902537,-30.58941769053761
-56.615838193651726,-24.50466412050666,-29.926969041049944,-30.630813800002397
-56.563810620049686,-24.539115320258915,-29.95814646094975,-30.67372208574529
-56.51185449882848,-24.575133672968747,-29.9899008758144,-30.718157486897052
-56.45996949385738,-24.61273185807698,-30.02221832705508,-30.76413563346922
-56.40815527153261,-24.651923253325336,-30.055084135335292,-30.81167287011395
-56.35641150075086,-24.69272195557994,-30.08848287499347,-30.860786281331542
-56.30473785288306,-24.73514280304188,-30.122398348014098,-30.91149371821232
-56.25313400174862,-24.779201398924627,-30.156813557614193,-30.96381382681094
-56.20159962358991,-24.8249141366804,-30.191710681518806,-31.017766078252897
-56.15013439704719,-24.872298226868992,-30.22707104501159,-31.07337080068816
-56.09873800313373,-24.921371725765443,-30.262875093854795,-31.130649213208336
-56.04741012521143,-24.972153565815898,-30.299102367187025,-31.189623461861366
-55.996150448966574,-25.024663588056203,-30.33573147051746,-31.2503166579027
-55.944958662386114,-25.078922576619842,-30.37274004894946,-31.312752918437102
-55.893834455734044,-25.134952295470804,-30.41010476077969,-31.37695740961615
-55.842777521528255,-25.19277552751038,-30.447801251634278,-31.44295639257272
-55.791787554517626,-25.252416116218424,-30.48580412931823,-31.510777272288646
-55.7408642516594,-25.313899010002643,-30.524086939570093,-31.58044864960612
-55.690007312096895,-25.377250309447405,-30.5626221429318,-31.652000376618194
-55.6392164371374,-25.44249731766744,-30.601381092958682,-31.72546361568802
-55.58849133023055,-25.50966859399248,-30.640334016014144,-31.800870902374818
-55.5378316969468,-25.578794011226037,-30.67944999290907,-31.878256212564008
-55.48723724495624,-25.649904816748737,-30.718696942665975,-31.95765503413448
-55.436707684007644,-25.72303369775527,-30.75804160870336,-32.03910444351861
-55.38624272590792,-25.79821485094602,-30.797449547754475,-32.12264318755099
-55.33584208450166,-25.87548405702124,-30.836885121850294,-32.20831177103656
-55.28550547565099,-25.954878760360675,-30.876311493712677,-32.29615255051222
-55.23523261721573,-26.036438154308765,-30.915690625918014,-32.38620983472444
-55.185023229033796,-26.120203272521536,-30.954983284202925,-32.47852999239061
-55.13487703290178,-26.20621708688674,-30.99414904529711,-32.57316156788361
-55.084793752555825,-26.29452461256822,-31.0331463096732,-32.670155405529634
-55.03477311365274,-26.385173020788642,-31.07193231961038,-32.769564783290896
-54.98481484375137,-26.478211760028103,-31.11046318297038,-32.871445556687135
-54.93491867229414,-26.573692686382774,-31.148693903080698,-32.97585631389651
-54.88508433058884,-26.671670203909642,-31.18657841511383,-33.0828585430843
-54.83531155179067,-26.772201415873248,-31.224069629339294,-33.19251681312432
-54.78560007088452,-26.875346287905625,-31.261119481606585,-33.30489896900574
-54.735949624667434,-26.98116782421062,-31.29767899139491,-33.42007634337427
-54.68635995173123,-27.08973225806188,-31.333698327733085,-33.53812398581666
