point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
63,1,0,2.7016737718088817,21.591796875,1.0388717321149081,1.2101504092215722,2.657480232730623,-2.178154661973254,1.977164742292755,1.2571225648688138,0.28204777007480997,1.3694305594049825,-0.34727578810589477,0.395844687585214,-0.6049194824890218,-0.4669650263937444,0.24942846581685674,0.38703205930276385,1.7493803486981907,2.1903080974053757
64,1,0,2.8664760157461915,31.953125,0.9707932716881454,1.6286459528455945,2.375109000458031,-2.138327901622179,1.5244809344589094,1.3001861571387612,0.44488076489800266,1.47414101367746,-0.46044156991842766,0.3524245204147147,-0.9486811228560925,-0.3750193233721084,0.26819141327975443,0.688653315318953,1.6812932800334752,2.301800019272841
65,1,0,1.7682590915805518,2878.572265625,0.12423142803902062,1.7479977695585842,2.332983299421925,-1.8345180374486127,1.6832275479243928,2.164569066387139,0.6284557965488842,1.2327464149071474,-0.582728397363478,-0.3999043804237281,-1.0217039568460662,-0.1203088826985601,-0.13137053841706714,-0.15619022111754105,1.7626409276586141,2.4881590016592527
66,1,0,2.2971349508558467,25.88671875,1.2932180619424916,1.212003471818832,2.352462202786657,-2.2183372450761145,1.466751381468106,1.2722234983934002,0.6064317698252211,1.3599455155285485,-0.48110941668764684,-0.03540423578123021,-0.47348038825329014,-0.4821808225074038,-0.21440669950391944,0.753577670103167,1.7574267407329045,2.3901422381134187
67,1,0,2.8346719291659888,19.443359375,1.0577496948197218,1.2117308503825024,2.3065831511828288,-2.1721935590917507,1.9274454523038567,1.2554062472363947,0.28248071597197144,1.2674052985758735,-0.41991636700016866,0.3904415679915847,-0.295948895300686,-0.4887474357887218,0.10772332844200605,0.38356389836466165,1.7493841995005477,2.1851301087855335
68,1,0,2.7114671489926403,21.20703125,1.2265311065488773,1.211810890645805,2.621548688837921,-2.1814972466051348,1.9691870748697933,1.2558782581176207,0.2860958143159674,1.3560123309923653,-0.5860579237717487,0.3785749758922199,-0.2785435067359844,-0.469409859070978,0.24942846581685674,0.38703205930276396,1.759715220766434,2.1935102438317893
69,1,0,2.841811401600361,16.603515625,1.1861198266955204,1.2117308503825024,2.657480232730622,-2.178154661973254,1.9274454523038567,1.255406247236395,0.28204777007480997,1.360365486978722,-0.34727578810589477,0.3904415679915847,-0.28050684016257454,-0.489655824227493,0.012022205996175997,0.3870320593027639,1.7493841995005477,2.1908067591157185
70,1,0,3.2042546469038458,19.263671875,1.0281214319015677,1.2371921333013414,2.352485352139853,-2.257642995121145,1.5218386779154234,1.290037358584103,0.4165605673206467,1.4502781218394798,-0.48877894695782914,0.4462558849769792,-0.9453017821226151,0.327748225269068,-0.21526210501322562,0.6890522038770829,1.7611685861643287,2.469317431780836
71,1,0,2.628817744750577,24.599609375,1.3665046549321787,1.2149570076437648,2.258148893126157,-2.455290222362609,2.0651641211310476,1.268789953102723,0.4400093806610792,1.2370322299896466,-0.6137007727054336,0.37576780533695575,-0.2891514733171553,0.29150650093736064,0.24984508888807022,0.7245876237266656,2.120859795354977,2.455829045958794
72,1,0,2.7819704827604026,21.005859375,1.31414659634747,1.2430796140570624,2.657480232730623,-1.7612437316153091,1.9799879280652566,1.2678671221162934,0.2820477700748101,1.3603487100070448,-0.29161352903365645,0.3345124018195188,-0.753520576708886,-0.4838522824665946,0.2499038423854858,0.7285221711244518,1.934791001740815,2.1904560965292896
73,1,0,2.7819704827604026,21.005859375,1.31414659634747,1.2430796140570624,2.657480232730623,-1.7612437316153091,1.9799879280652566,1.2678671221162934,0.2820477700748101,1.3603487100070448,-0.29161352903365645,0.3345124018195188,-0.753520576708886,-0.4838522824665946,0.2499038423854858,0.7285221711244518,1.9347910017408152,2.1904560965292896
74,1,0,3.4531759826104462,14.548828125,1.2679813309633605,1.2371921333013414,2.352485352139853,-2.257642995121145,1.5218386779154236,1.2491671142406693,0.4165605673206467,1.4502781218394798,-0.4887789469578292,0.4462558849769792,-0.9453017821226151,0.327748225269068,-0.21526210501322562,0.6769034285487749,1.7611685861643287,2.469317431780836
